date,ticker,measure,value
2014-12-31,AAPL,cost_of_revenue,44858000000.0
2015-03-31,AAPL,cost_of_revenue,34354000000.0
2015-06-30,AAPL,cost_of_revenue,29924000000.0
2015-09-30,AAPL,cost_of_revenue,30953000000.0
2015-12-31,AAPL,cost_of_revenue,45449000000.0
2016-03-31,AAPL,cost_of_revenue,30636000000.0
2016-06-30,AAPL,cost_of_revenue,26252000000.0
2016-09-30,AAPL,cost_of_revenue,29039000000.0
2016-12-31,AAPL,cost_of_revenue,48175000000.0
2017-03-31,AAPL,cost_of_revenue,32305000000.0
2017-06-30,AAPL,cost_of_revenue,27920000000.0
2017-09-30,AAPL,cost_of_revenue,32648000000.0
2017-12-31,AAPL,cost_of_revenue,54381000000.0
2018-03-31,AAPL,cost_of_revenue,37715000000.0
2018-06-30,AAPL,cost_of_revenue,32844000000.0
2018-09-30,AAPL,cost_of_revenue,38816000000.0
2018-12-31,AAPL,cost_of_revenue,52279000000.0
2019-03-31,AAPL,cost_of_revenue,36194000000.0
2019-06-30,AAPL,cost_of_revenue,33582000000.0
2019-09-30,AAPL,cost_of_revenue,39727000000.0
2019-12-31,AAPL,cost_of_revenue,56602000000.0
2020-03-31,AAPL,cost_of_revenue,35943000000.0
2020-06-30,AAPL,cost_of_revenue,37005000000.0
2020-09-30,AAPL,cost_of_revenue,40009000000.0
2020-12-31,AAPL,cost_of_revenue,67111000000.0
2021-03-31,AAPL,cost_of_revenue,51505000000.0
2021-06-30,AAPL,cost_of_revenue,46179000000.0
2021-09-30,AAPL,cost_of_revenue,48186000000.0
2021-12-31,AAPL,cost_of_revenue,69702000000.0
2022-03-31,AAPL,cost_of_revenue,54719000000.0
2022-06-30,AAPL,cost_of_revenue,47074000000.0
2022-09-30,AAPL,cost_of_revenue,52051000000.0
2022-12-31,AAPL,cost_of_revenue,66822000000.0
2023-03-31,AAPL,cost_of_revenue,52860000000.0
2023-06-30,AAPL,cost_of_revenue,45384000000.0
2023-09-30,AAPL,cost_of_revenue,49071000000.0
2023-12-31,AAPL,cost_of_revenue,64720000000.0
2024-03-31,AAPL,cost_of_revenue,48482000000.0
2024-06-30,AAPL,cost_of_revenue,46099000000.0
2024-09-30,AAPL,cost_of_revenue,51051000000.0
2024-12-31,AAPL,cost_of_revenue,66025000000.0
2025-03-31,AAPL,cost_of_revenue,50492000000.0
2025-06-30,AAPL,cost_of_revenue,50318000000.0
2025-09-30,AAPL,cost_of_revenue,54125000000.0
2025-12-31,AAPL,cost_of_revenue,74525000000.0
2014-09-30,AAPL,gross_profit,16009000000.0
2014-12-31,AAPL,gross_profit,29741000000.0
2015-03-31,AAPL,gross_profit,23656000000.0
2015-06-30,AAPL,gross_profit,19681000000.0
2015-09-30,AAPL,gross_profit,20548000000.0
2015-12-31,AAPL,gross_profit,30423000000.0
2016-03-31,AAPL,gross_profit,19921000000.0
2016-06-30,AAPL,gross_profit,16106000000.0
2016-09-30,AAPL,gross_profit,17813000000.0
2016-12-31,AAPL,gross_profit,30176000000.0
2017-03-31,AAPL,gross_profit,20591000000.0
2017-06-30,AAPL,gross_profit,17488000000.0
2017-09-30,AAPL,gross_profit,19931000000.0
2017-12-31,AAPL,gross_profit,33912000000.0
2018-03-31,AAPL,gross_profit,23422000000.0
2018-06-30,AAPL,gross_profit,20421000000.0
2018-09-30,AAPL,gross_profit,24084000000.0
2018-12-31,AAPL,gross_profit,32031000000.0
2019-03-31,AAPL,gross_profit,21821000000.0
2019-06-30,AAPL,gross_profit,20227000000.0
2019-09-30,AAPL,gross_profit,24313000000.0
2019-12-31,AAPL,gross_profit,35217000000.0
2020-03-31,AAPL,gross_profit,22370000000.0
2020-06-30,AAPL,gross_profit,22680000000.0
2020-09-30,AAPL,gross_profit,24689000000.0
2020-12-31,AAPL,gross_profit,44328000000.0
2021-03-31,AAPL,gross_profit,38079000000.0
2021-06-30,AAPL,gross_profit,35255000000.0
2021-09-30,AAPL,gross_profit,35174000000.0
2021-12-31,AAPL,gross_profit,54243000000.0
2022-03-31,AAPL,gross_profit,42559000000.0
2022-06-30,AAPL,gross_profit,35885000000.0
2022-09-30,AAPL,gross_profit,38095000000.0
2022-12-31,AAPL,gross_profit,50332000000.0
2023-03-31,AAPL,gross_profit,41976000000.0
2023-06-30,AAPL,gross_profit,36413000000.0
2023-09-30,AAPL,gross_profit,40427000000.0
2023-12-31,AAPL,gross_profit,54855000000.0
2024-03-31,AAPL,gross_profit,42271000000.0
2024-06-30,AAPL,gross_profit,39678000000.0
2024-09-30,AAPL,gross_profit,43879000000.0
2024-12-31,AAPL,gross_profit,58275000000.0
2025-03-31,AAPL,gross_profit,44867000000.0
2025-06-30,AAPL,gross_profit,43718000000.0
2025-09-30,AAPL,gross_profit,48341000000.0
2025-12-31,AAPL,gross_profit,69231000000.0
2014-09-30,AAPL,net_income,8467000000.0
2014-12-31,AAPL,net_income,18024000000.0
2015-03-31,AAPL,net_income,13569000000.0
2015-06-30,AAPL,net_income,10677000000.0
2015-09-30,AAPL,net_income,11124000000.0
2015-12-31,AAPL,net_income,18361000000.0
2016-03-31,AAPL,net_income,10516000000.0
2016-06-30,AAPL,net_income,7796000000.0
2016-09-30,AAPL,net_income,9014000000.0
2016-12-31,AAPL,net_income,17891000000.0
2017-03-31,AAPL,net_income,11029000000.0
2017-06-30,AAPL,net_income,8717000000.0
2017-09-30,AAPL,net_income,10714000000.0
2017-12-31,AAPL,net_income,20065000000.0
2018-03-31,AAPL,net_income,13822000000.0
2018-06-30,AAPL,net_income,11519000000.0
2018-09-30,AAPL,net_income,14125000000.0
2018-12-31,AAPL,net_income,19965000000.0
2019-03-31,AAPL,net_income,11561000000.0
2019-06-30,AAPL,net_income,10044000000.0
2019-09-30,AAPL,net_income,13686000000.0
2019-12-31,AAPL,net_income,22236000000.0
2020-03-31,AAPL,net_income,11249000000.0
2020-06-30,AAPL,net_income,11253000000.0
2020-09-30,AAPL,net_income,12673000000.0
2020-12-31,AAPL,net_income,28755000000.0
2021-03-31,AAPL,net_income,23630000000.0
2021-06-30,AAPL,net_income,21744000000.0
2021-09-30,AAPL,net_income,20551000000.0
2021-12-31,AAPL,net_income,34630000000.0
2022-03-31,AAPL,net_income,25010000000.0
2022-06-30,AAPL,net_income,19442000000.0
2022-09-30,AAPL,net_income,20721000000.0
2022-12-31,AAPL,net_income,29998000000.0
2023-03-31,AAPL,net_income,24160000000.0
2023-06-30,AAPL,net_income,19881000000.0
2023-09-30,AAPL,net_income,22956000000.0
2023-12-31,AAPL,net_income,33916000000.0
2024-03-31,AAPL,net_income,23636000000.0
2024-06-30,AAPL,net_income,21448000000.0
2024-09-30,AAPL,net_income,14736000000.0
2024-12-31,AAPL,net_income,36330000000.0
2025-03-31,AAPL,net_income,24780000000.0
2025-06-30,AAPL,net_income,23434000000.0
2025-09-30,AAPL,net_income,27466000000.0
2025-12-31,AAPL,net_income,42097000000.0
2014-12-31,AAPL,operating_income,24246000000.0
2015-03-31,AAPL,operating_income,18278000000.0
2015-06-30,AAPL,operating_income,14083000000.0
2015-09-30,AAPL,operating_income,14623000000.0
2015-12-31,AAPL,operating_income,24171000000.0
2016-03-31,AAPL,operating_income,13987000000.0
2016-06-30,AAPL,operating_income,10105000000.0
2016-09-30,AAPL,operating_income,11761000000.0
2016-12-31,AAPL,operating_income,23359000000.0
2017-03-31,AAPL,operating_income,14097000000.0
2017-06-30,AAPL,operating_income,10768000000.0
2017-09-30,AAPL,operating_income,13120000000.0
2017-12-31,AAPL,operating_income,26274000000.0
2018-03-31,AAPL,operating_income,15894000000.0
2018-06-30,AAPL,operating_income,12612000000.0
2018-09-30,AAPL,operating_income,16118000000.0
2018-12-31,AAPL,operating_income,23346000000.0
2019-03-31,AAPL,operating_income,13415000000.0
2019-06-30,AAPL,operating_income,11544000000.0
2019-09-30,AAPL,operating_income,15625000000.0
2019-12-31,AAPL,operating_income,25569000000.0
2020-03-31,AAPL,operating_income,12853000000.0
2020-06-30,AAPL,operating_income,13091000000.0
2020-09-30,AAPL,operating_income,14775000000.0
2020-12-31,AAPL,operating_income,33534000000.0
2021-03-31,AAPL,operating_income,27503000000.0
2021-06-30,AAPL,operating_income,24126000000.0
