date,ticker,cost_of_revenue,gross_profit,net_income,operating_income,rd_expense,revenue,stockholders_equity,total_assets
2014-09-30,AAPL,,16009000000.0,8467000000.0,,,42123000000.0,111547000000.0,231839000000.0
2014-12-31,AAPL,44858000000.0,29741000000.0,18024000000.0,24246000000.0,1895000000.0,74599000000.0,123328000000.0,261894000000.0
2014-12-31,AMZN,,,214000000.0,591000000.0,,29328000000.0,10741000000.0,54505000000.0
2014-12-31,META,,,,,,,36096000000.0,40184000000.0
2014-12-31,MSFT,10136000000.0,16334000000.0,5863000000.0,7776000000.0,2903000000.0,26470000000.0,91879000000.0,174848000000.0
2014-12-31,TSLA,,261697000.0,-107630000.0,,,956661000.0,911710000.0,5849251000.0
2015-01-31,NVDA,550911000.0,699603000.0,193128000.0,,,1250514000.0,4417982000.0,7201368000.0
2015-03-31,AAPL,34354000000.0,23656000000.0,13569000000.0,18278000000.0,1918000000.0,58010000000.0,129006000000.0,261194000000.0
2015-03-31,AMZN,15395000000.0,7322000000.0,-57000000.0,255000000.0,,22717000000.0,10873000000.0,50075000000.0
2015-03-31,META,654000000.0,2889000000.0,512000000.0,933000000.0,1062000000.0,3543000000.0,37501000000.0,42007000000.0
2015-03-31,MSFT,7161000000.0,14568000000.0,4985000000.0,6594000000.0,2984000000.0,21729000000.0,90132000000.0,176683000000.0
2015-03-31,TSLA,679807000.0,260073000.0,-154181000.0,-102446000.0,167154000.0,939880000.0,825997000.0,6120030000.0
2015-04-30,NVDA,498000000.0,653000000.0,134000000.0,176000000.0,339000000.0,1151000000.0,4556000000.0,7291000000.0
2015-06-30,AAPL,29924000000.0,19681000000.0,10677000000.0,14083000000.0,2034000000.0,49605000000.0,125677000000.0,273151000000.0
2015-06-30,AMZN,15160000000.0,8025000000.0,92000000.0,464000000.0,,23185000000.0,11768000000.0,52440000000.0
2015-06-30,META,668000000.0,3374000000.0,719000000.0,1273000000.0,1170000000.0,4042000000.0,39452000000.0,44130000000.0
2015-06-30,MSFT,,14712000000.0,-3195000000.0,-2053000000.0,,22180000000.0,80083000000.0,176223000000.0
2015-06-30,TSLA,741606000.0,213370000.0,-184227000.0,-170188000.0,181712000.0,954976000.0,715934000.0,6468185000.0
2015-07-31,NVDA,519000000.0,634000000.0,26000000.0,76000000.0,320000000.0,1153000000.0,4185000000.0,6979000000.0
2015-09-30,AAPL,30953000000.0,20548000000.0,11124000000.0,14623000000.0,2220000000.0,51501000000.0,119355000000.0,290479000000.0
2015-09-30,AMZN,16755000000.0,8603000000.0,79000000.0,406000000.0,,25358000000.0,12430000000.0,56230000000.0
2015-09-30,GOOGL,7037000000.0,11638000000.0,3979000000.0,4708000000.0,3230000000.0,18675000000.0,116241000000.0,144281000000.0
2015-09-30,META,720000000.0,3781000000.0,896000000.0,1459000000.0,1271000000.0,4501000000.0,41420000000.0,46469000000.0
2015-09-30,MSFT,7207000000.0,13172000000.0,4620000000.0,5793000000.0,2962000000.0,20379000000.0,77445000000.0,172896000000.0
2015-09-30,TSLA,705293000.0,231496000.0,-229858000.0,-183662000.0,178791000.0,936789000.0,1314656000.0,7547497000.0
2015-10-31,NVDA,571000000.0,734000000.0,246000000.0,245000000.0,329000000.0,1305000000.0,4465000000.0,7174000000.0
2015-12-31,AAPL,45449000000.0,30423000000.0,18361000000.0,24171000000.0,2404000000.0,75872000000.0,128267000000.0,293284000000.0
2015-12-31,AMZN,24341000000.0,11406000000.0,482000000.0,1108000000.0,,35747000000.0,13384000000.0,65444000000.0
2015-12-31,GOOGL,,,,,,,120331000000.0,147461000000.0
2015-12-31,META,825000000.0,5017000000.0,1561000000.0,2560000000.0,1313000000.0,5842000000.0,44218000000.0,49407000000.0
2015-12-31,MSFT,9872000000.0,13924000000.0,4998000000.0,6026000000.0,2900000000.0,23796000000.0,76780000000.0,180098000000.0
