date_weekly,AAPL,MSFT,AMZN,NVDA,GOOGL,TSLA,META
2015-01-02 16:00:00,27.33,46.76,15.43,0.5,26.48,14.62,78.45
2015-01-09 16:00:00,28,47.19,14.85,0.5,25.04,13.78,77.74
2015-01-16 16:00:00,26.5,46.24,14.54,0.5,25.52,12.87,75.18
2015-01-23 16:00:00,28.25,47.18,15.62,0.52,27.1,13.42,77.83
2015-01-30 16:00:00,29.29,40.4,17.73,0.48,26.88,13.57,75.91
2015-02-06 16:00:00,29.73,42.41,18.71,0.51,26.69,14.49,74.47
2015-02-13 16:00:00,31.77,43.87,19.09,0.56,27.56,13.58,75.74
2015-02-20 16:00:00,32.37,43.86,19.18,0.56,27.09,14.47,79.9
2015-02-27 16:00:00,32.12,43.85,19.01,0.55,28.13,13.56,78.97
2015-03-06 16:00:00,31.65,42.36,19,0.56,28.65,12.93,80.01
2015-03-13 16:00:00,30.9,41.38,18.53,0.57,27.65,12.58,78.05
2015-03-20 16:00:00,31.48,42.88,18.92,0.59,28.25,13.21,83.8
2015-03-27 16:00:00,30.81,40.97,18.53,0.53,27.88,12.33,83.3
2015-04-02 16:00:00,31.33,40.29,18.61,0.53,27.07,12.73,81.56
2015-04-10 16:00:00,31.78,41.72,19.13,0.57,27.43,14.06,82.04
2015-04-17 16:00:00,31.19,41.62,18.78,0.56,26.64,13.79,80.78
2015-04-24 16:00:00,32.57,47.87,22.26,0.55,28.68,14.56,81.53
2015-05-01 16:00:00,32.24,48.66,21.14,0.57,27.56,15.07,78.99
2015-05-08 16:00:00,31.91,47.75,21.68,0.52,27.45,15.77,78.51
2015-05-15 16:00:00,32.19,48.3,21.3,0.53,27.32,16.59,80.42
2015-05-22 16:00:00,33.14,46.9,21.38,0.52,27.73,16.52,80.54
2015-05-29 16:00:00,32.57,46.86,21.46,0.55,27.27,16.72,79.19
2015-06-05 16:00:00,32.16,46.14,21.35,0.56,27.48,16.61,82.14
2015-06-12 16:00:00,31.79,45.97,21.5,0.53,27.37,16.71,81.53
2015-06-19 16:00:00,31.65,46.1,21.75,0.55,27.88,17.5,82.51
2015-06-26 16:00:00,31.69,45.26,21.91,0.52,27.65,17.81,88.01
2015-07-02 16:00:00,31.61,44.4,21.89,0.51,27.37,18.67,87.29
2015-07-10 16:00:00,30.82,44.61,22.18,0.49,27.81,17.28,87.95
2015-07-17 16:00:00,32.41,46.62,24.15,0.5,34.98,18.31,94.97
2015-07-24 16:00:00,31.13,45.94,26.47,0.49,32.74,17.69,96.95
2015-07-31 16:00:00,30.33,46.7,26.81,0.5,32.88,17.74,94.01
2015-08-07 16:00:00,28.88,46.74,26.13,0.57,33.22,16.17,94.3
2015-08-14 16:00:00,28.99,47,26.58,0.59,34.47,16.21,94.42
2015-08-21 16:00:00,26.44,43.07,24.72,0.54,32.2,15.38,86.06
2015-08-28 16:00:00,28.32,43.93,25.9,0.57,32.98,16.57,91.01
2015-09-04 16:00:00,27.32,42.61,24.95,0.54,31.45,16.13,88.26
2015-09-11 16:00:00,28.55,43.48,26.47,0.57,32.77,16.68,92.05
2015-09-18 16:00:00,28.36,43.48,27.01,0.58,33.05,17.37,94.4
2015-09-25 16:00:00,28.68,43.94,26.21,0.59,32.01,17.13,92.77
2015-10-02 16:00:00,27.6,45.57,26.63,0.62,32.85,16.5,92.07
2015-10-09 16:00:00,28.03,47.11,26.99,0.65,33.56,14.71,93.24
2015-10-16 16:00:00,27.76,47.51,28.54,0.7,34.77,15.13,97.54
2015-10-23 16:00:00,29.77,52.87,29.95,0.71,35.97,13.94,102.19
2015-10-30 16:00:00,29.88,52.64,31.3,0.71,36.87,13.8,101.97
2015-11-06 16:00:00,30.27,54.92,32.97,0.79,38.08,15.49,107.1
2015-11-13 16:00:00,28.09,52.84,32.12,0.75,37,13.81,103.95
2015-11-20 16:00:00,29.83,54.19,33.42,0.78,38.85,14.67,107.32
2015-11-27 16:00:00,29.45,53.93,33.66,0.78,38.6,15.44,105.45
2015-12-04 16:00:00,29.76,55.91,33.63,0.84,38.96,15.36,106.18
2015-12-11 16:00:00,28.3,54.06,32.01,0.81,37.52,14.47,102.12
2015-12-18 16:00:00,26.51,54.13,33.21,0.8,37.84,15.36,104.04
2015-12-24 16:00:00,27.01,55.67,33.14,0.83,38.29,15.37,105.02
2015-12-31 16:00:00,26.32,55.48,33.79,0.82,38.9,16,104.66
2016-01-08 16:00:00,24.24,52.33,30.35,0.74,36.55,14.07,97.33
2016-01-15 16:00:00,24.28,50.99,28.51,0.68,35.52,13.67,94.97
2016-01-22 16:00:00,25.36,52.29,29.82,0.71,37.27,13.5,97.94
2016-01-29 16:00:00,24.34,55.09,29.35,0.73,38.07,12.75,112.21
2016-02-05 16:00:00,23.51,50.16,25.11,0.66,35.19,10.84,104.07
2016-02-12 16:00:00,23.5,50.5,25.35,0.64,35.34,10.07,102.01
2016-02-19 16:00:00,24.01,51.82,26.75,0.76,36.11,11.11,104.57
2016-02-26 16:00:00,24.23,51.3,27.76,0.79,36.24,12.69,107.92
2016-03-04 16:00:00,25.75,52.03,28.76,0.81,36.51,13.4,108.39
2016-03-11 16:00:00,25.57,53.07,28.48,0.81,37.24,13.83,109.41
2016-03-18 16:00:00,26.48,53.49,27.6,0.85,37.77,15.52,111.45
2016-03-24 16:00:00,26.42,54.21,29.15,0.86,37.74,15.18,113.05
2016-04-01 16:00:00,27.5,55.57,29.93,0.9,38.48,15.84,116.06
2016-04-08 16:00:00,27.17,54.42,29.73,0.89,37.97,16.67,110.63
2016-04-15 16:00:00,27.46,55.65,31.29,0.93,39,16.97,109.64
2016-04-22 16:00:00,26.42,51.78,31.03,0.91,36.89,16.92,110.56
2016-04-29 16:00:00,23.44,49.87,32.98,0.89,35.39,16.05,117.58
2016-05-06 16:00:00,23.18,50.39,33.7,0.88,36.26,14.33,119.49
2016-05-13 16:00:00,22.63,51.08,35.5,1.02,36.24,13.84,119.81
2016-05-20 16:00:00,23.81,50.62,35.14,1.11,36.09,14.69,117.35
2016-05-27 16:00:00,25.09,52.32,35.61,1.15,37.38,14.87,119.38
2016-06-03 16:00:00,24.48,51.79,36.28,1.16,36.79,14.6,118.47
2016-06-10 16:00:00,24.71,51.48,35.9,1.16,36.66,14.59,116.62
2016-06-17 16:00:00,23.83,50.13,35.32,1.17,35.21,14.36,113.02
2016-06-24 16:00:00,23.35,49.83,34.95,1.14,34.26,12.88,112.08
2016-07-01 16:00:00,23.97,51.16,36.28,1.17,35.51,14.43,114.19
2016-07-08 16:00:00,24.17,52.3,37.29,1.27,35.89,14.45,117.24
2016-07-15 16:00:00,24.7,53.7,36.77,1.32,36.78,14.69,116.86
2016-07-22 16:00:00,24.67,56.57,37.24,1.37,37.96,14.82,121
2016-07-29 16:00:00,26.05,56.68,37.94,1.43,39.57,15.65,123.94
2016-08-05 16:00:00,26.87,57.96,38.3,1.46,40.35,15.34,125.15
2016-08-12 16:00:00,27.05,57.94,38.63,1.58,40.35,15.04,124.88
2016-08-19 16:00:00,27.34,57.62,37.87,1.56,39.98,15,123.56
2016-08-26 16:00:00,26.74,58.03,38.45,1.55,39.66,14.67,124.96
